job_id,title,company,location,category,score,score_reasons,sources,urls,date_posted,deadline,first_seen,last_seen,status,applied_date,notes
3b317fa4b20a5027ee,Sales Development Representative - Finland,,,IT + MYYNTI,59,"+15 yhdistää IT:n ja kaupallisen taustan ; +30 sopiva työnimike (sales development) ; +15 junior/trainee/graduate-taso ; +12 kokemusosumat: b2b, crm, ict ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4411266268,,,2026-09-25,2026-09-25,UUSI,,
9e56e5a9f41f5726b9,Account Manager,,,IT + MYYNTI,57,"+15 yhdistää IT:n ja kaupallisen taustan ; +32 sopiva työnimike (account manager) ; +15 junior/trainee/graduate-taso ; +16 kokemusosumat: b2b, account management, crm, customer success ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4470173020,,,2026-09-25,2026-09-25,UUSI,,
ca9cd0d73ea032abc7,Software Developer (Application development),,,IT,56,"+10 sopii IT-koulutukseen ; +34 sopiva työnimike (software developer) ; +15 junior/trainee/graduate-taso ; +6 teknologiat: java, c# ; +4 kokemusosumat: crm ; +8 koulutustausta sopii ; +4 kielivaatimukset sopivat ; -25 ilmoituksessa senior/lead-tason merkkejä",LinkedIn,https://fi.linkedin.com/jobs/view/4469156959,,,2026-09-25,2026-09-25,UUSI,,
